source_branch,old_id,kind,canonical_id,title,old_row_commit,old_row_state
cursor/ladder-lite-20260819-2969,B0023,B,B0100,Correction to B0022: diversify-rounds scales; equal endpoints indicate saturation,78ab30c^,removed by 78ab30c; restated as inbox LOCAL-1
cursor/ladder-lite-20260819-2969,B0024,B,B0101,Greedy warm-pool startup rejected plan-declared 240 kWh physics,78ab30c^,removed by 78ab30c; corrected by canonical B0102
cursor/ladder-lite-20260819-2969,B0025,B,B0102,"Correction to B0024: greedy exposed an unsupported frozen grid, not an algorithm regression",78ab30c^,removed by 78ab30c; restated as inbox LOCAL-2
cursor/ladder-lite-20260819-2969,B0026,B,B0103,A chained analysis assumed target_pool_feasibility.py existed at 6d02f91,78ab30c^,removed by 78ab30c; restated as inbox LOCAL-3
cursor/fixed-duty-charging-2969-b22e,B0023,B,B0104,Station-only waypoints are ambiguous in the legacy charging-stop replay format,70c88f4^,removed by 70c88f4; restated as inbox LOCAL-2
cursor/event-based-pricer-2969,B0031,B,B0105,Event-time columns cannot pass realize_expanded_path unchanged,2e6cb9b,still in branch ledger at tip
cursor/event-based-pricer-2969,B0032,B,B0106,Event k_best_routes returns at most one shortest prefix per sink predecessor,2e6cb9b,still in branch ledger at tip; restated as inbox LOCAL-4
cursor/event-based-pricer-2969,B0033,B,B0107,Event report incorrectly claimed duty 13411 passed all five grid gates,2e6cb9b,still in branch ledger at tip
cursor/branch-and-price-experiment-2969-1451,B0031,B,B0108,"Exact-CG status omitted DAG size, per-iteration master/pricing cost, certificate time, and peak RSS",c9c932e,still in branch ledger at tip; corrected by canonical B0109
cursor/branch-and-price-experiment-2969-1451,B0032,B,B0109,Correction to B0031: resolution-cost status instrumentation is locally validated,c9c932e,still in branch ledger at tip
cursor/branch-and-price-experiment-2969-1451,B0033,B,B0110,HiGHS LP time_limit does not bound model loading and presolve wall time on multi-million-variable arc-flow models,c9c932e,still in branch ledger at tip
cursor/ladder-lite-20260819-2969,D0021,D,D0100,Keep columns_per_iter=30 as the scale-ladder default; do not raise it to 100 or 300.,78ab30c^,removed by 78ab30c; restated as inbox LOCAL-4
cursor/fixed-duty-charging-2969-b22e,D0021,D,D0101,"Use an event-based continuous-energy MILP for fixed GIRO trip sequences; enforce 240 kWh/240 kW/zero reserve/$5 starts by default, keep terminal SOC explicit and switchable, and classify non-frozen calls as diagnostic overrides.",70c88f4^,removed by 70c88f4
cursor/fixed-duty-charging-2969-b22e,D0022,D,D0102,"For the zero-start-cost event-cap treatment, set N separately for each duty to its observed GIRO recharge count; pair this with a mean-preserving synthetic SE3-shaped two-peak instrument whose status remains synthetic pending a frozen real series.",70c88f4^,removed by 70c88f4; restated as inbox LOCAL-3 and LOCAL-4
cursor/fixed-duty-charging-2969-b22e,D0023,D,D0103,All capped-versus-uncapped timing savings use the uncapped charge-on-arrival cost under the same tariff and terminal policy as a fixed denominator.,70c88f4^,removed by 70c88f4; superseded on-branch by matched-feasible-set method (canonical D0113)
cursor/event-based-pricer-2969,D0031,D,D0104,"PAUSED: event-time pricing passes default identity and the motivating fleet/transition gates, but fails the unchanged expanded-realization gate",2e6cb9b,still in branch ledger at tip; G3-pass wording superseded by canonical D0106
cursor/event-based-pricer-2969,D0032,D,D0105,"Event-pricer sink batching is a performance heuristic, not a k-shortest-path guarantee",2e6cb9b,still in branch ledger at tip
cursor/event-based-pricer-2969,D0033,D,D0106,CORRECTION: G3 is the formal event-pricer stop; duty 13411 fails the 15/10 and 5/10 event grids,2e6cb9b,still in branch ledger at tip
cursor/branch-and-price-experiment-2969-1451,D0031,D,D0107,Freeze a paired 336-run resolution-cost study: 168 instance-grid-physics cells with exact-CG and direct all-arc-integer arc-flow arms,c9c932e,still in branch ledger at tip
cursor/branch-and-price-experiment-2969-1451,D0032,D,D0108,Fit exact-CG DAG size and arc-flow variable/constraint/nonzero size separately on 240/240 rows; use 300/300 only as bridge validation and classify affordability against 24 hours,c9c932e,still in branch ledger at tip
cursor/branch-and-price-experiment-2969-1451,D0033,D,D0109,"Local CG-only k2/k3 sanity fit predicts uniform k40 1kWh/5min refinement is unaffordable pending paired arc-flow calibration: 1,969 certificate-hours versus 24",c9c932e,still in branch ledger at tip
cursor/branch-and-price-experiment-2969-1451,D0034,D,D0110,Enforce arc-flow wall budgets in the parent process and preserve the model-size checkpoint when native HiGHS exceeds its internal time limit,c9c932e,still in branch ledger at tip
cursor/branch-and-price-experiment-2969-1451,D0035,D,D0111,"Local paired evidence places the strict all-arc arc-flow crossover at or before k2 under a 60-second budget, finds no LP equality break, and predicts neither uniform method affordable at k40 1kWh/5min",c9c932e,still in branch ledger at tip
