algorithm_family,implementation,treatment,scale_family,scale,size_class,comparison_group,model_difference,required_evidence,minimum_replicates,trajectory_replicates,endpoint_replicates,mip_checkpoint_replicates,mip_final_replicates,verified_trip_sets,replicate_semantics,coverage_status,availability_reason
heuristic_dp_historical,legacy_dp,,pair,pairs,small,pair-pairs,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
heuristic_dp_current,instrumented_dp,,pair,pairs,small,pair-pairs,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
exact_expanded_network,exact_pricer,,pair,pairs,small,pair-pairs,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,RAW,pair,pairs,small,pair-pairs,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,MATCHING,pair,pairs,small,pair-pairs,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,GIRO,pair,pairs,small,pair-pairs,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
heuristic_dp_historical,legacy_dp,,single,single,small,single-single,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
heuristic_dp_current,instrumented_dp,,single,single,small,single-single,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
exact_expanded_network,exact_pricer,,single,single,small,single-single,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,RAW,single,single,small,single-single,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,MATCHING,single,single,small,single-single,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
mip_finite_pool,two_stage_pool_mip,GIRO,single,single,small,single-single,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,mip_checkpoint_and_final,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
heuristic_dp_historical,legacy_dp,,union,5,small,union-5,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
heuristic_dp_current,instrumented_dp,,union,5,small,union-5,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
exact_expanded_network,exact_pricer,,union,5,small,union-5,historical/current DP and exact expanded-network pricing are different implementations; compare trajectories without claiming identical pricing graphs,trajectory,3,0,0,0,0,0,trip_set_identity_unavailable,not_available,no verified artifact for the exact algorithm/scale slot
