field,table,type,units,definition,availability
git_dirty,artifact_inventory.csv,boolean,,Recorded source worktree state; null for legacy artifacts.,null unless explicitly measured/recorded
instance_sha256,artifact_inventory.csv,string,,Hash-bound instance identity; null when unavailable.,null unless explicitly measured/recorded
tariff_sha256,artifact_inventory.csv,string,,Hash-bound tariff identity; null when unavailable.,null unless explicitly measured/recorded
trip_set_sha256,artifact_inventory.csv,string,,Ordered trip-set identity; distinct trip sets are not replicates.,null unless explicitly measured/recorded
artificial_total,cg_iteration_long.csv,number,artificial mass,Artificial mass. Zero is separate from pricing certification.,null unless explicitly measured/recorded
legacy_master_objective,cg_iteration_long.csv,number,,Historical heuristic-DP Master_Obj. Preserved separately; not silently equated to Master_Obj_Before_Add.,null unless explicitly measured/recorded
lp_route_weight,cg_iteration_long.csv,number,routes,Restricted-master LP route-variable sum; not an integer fleet.,null unless explicitly measured/recorded
master_objective_before_add,cg_iteration_long.csv,number,,Current heuristic-DP master objective before newly priced columns are added.,null unless explicitly measured/recorded
pool_columns_delta,cg_iteration_long.csv,number,columns,Change in recorded exact-pool size between adjacent rows; not the producer's per-iteration insertion count.,null unless explicitly measured/recorded
certification_censored,cg_run_summary.csv,boolean,,Pricing certification was observable but not reached.,null unless explicitly measured/recorded
master_time_share,cg_run_summary.csv,number,fraction,Computed only from explicitly measured master/pricing fields.,null unless explicitly measured/recorded
pricing_certified,cg_run_summary.csv,boolean,,Explicit terminal pricing certificate only; never inferred from a missing/timeout row.,null unless explicitly measured/recorded
target_lp_weight_censored,cg_run_summary.csv,boolean,,Explicit LP route-weight target was observable but not reached.,null unless explicitly measured/recorded
termination_category,cg_run_summary.csv,string,,Normalized terminal category with raw token retained separately.,null unless explicitly measured/recorded
zero_artificials_censored,cg_run_summary.csv,boolean,,Zero artificial mass was observable but not reached.,null unless explicitly measured/recorded
fleet_proven,mip_run_summary.csv,boolean,,Integer fleet proven only over the named finite MIP pool.,null unless explicitly measured/recorded
objective_bound_scope,mip_run_summary.csv,string,,Scope of the finite-pool MIP objective bound.,null unless explicitly measured/recorded
objective_source_bound,mip_run_summary.csv,boolean,,Whether every selected route cost was independently bound to a verified source artifact; false for unrecomputed augmented costs.,null unless explicitly measured/recorded
physically_validated_schedule,mip_run_summary.csv,boolean,,Selected integer routes include physically replayed schedules; separate from incidence partition feasibility.,null unless explicitly measured/recorded
pool_scope,mip_run_summary.csv,string,,"Finite RAW, MATCHING, or GIRO-augmented pool; never global route space.",null unless explicitly measured/recorded
proof_censored,mip_run_summary.csv,boolean,,Finite-pool fleet proof was not observed before stopping.,null unless explicitly measured/recorded
algorithm_family,scale_progress_summary.csv,string,,Scale-progress field algorithm_family.,null unless explicitly measured/recorded
artificial_mass,scale_progress_summary.csv,number,artificial mass,Artificial mass at the reported restricted-master observation.,null unless explicitly measured/recorded
best_reduced_cost,scale_progress_summary.csv,number,,Scale-progress field best_reduced_cost.,null unless explicitly measured/recorded
censored,scale_progress_summary.csv,boolean,,Whether the named target event was not observed before stopping.,null unless explicitly measured/recorded
censoring_reason,scale_progress_summary.csv,string,,Scale-progress field censoring_reason.,null unless explicitly measured/recorded
certified_lp_bound,scale_progress_summary.csv,number,routes,Route-weight LP bound reported only with explicit pricing certification and zero artificials.,null unless explicitly measured/recorded
certified_lp_bound_scope,scale_progress_summary.csv,string,,Scale-progress field certified_lp_bound_scope.,null unless explicitly measured/recorded
elapsed_s,scale_progress_summary.csv,number,,Scale-progress field elapsed_s.,null unless explicitly measured/recorded
implementation,scale_progress_summary.csv,string,,Scale-progress field implementation.,null unless explicitly measured/recorded
initialization,scale_progress_summary.csv,string,,Scale-progress field initialization.,null unless explicitly measured/recorded
instance_family,scale_progress_summary.csv,string,,Scale-progress field instance_family.,null unless explicitly measured/recorded
instance_sha256,scale_progress_summary.csv,string,,Scale-progress field instance_sha256.,null unless explicitly measured/recorded
iteration,scale_progress_summary.csv,number,,Scale-progress field iteration.,null unless explicitly measured/recorded
master_sense,scale_progress_summary.csv,string,,Scale-progress field master_sense.,null unless explicitly measured/recorded
method,scale_progress_summary.csv,string,,Scale-progress field method.,null unless explicitly measured/recorded
mip_finite_pool_bound,scale_progress_summary.csv,number,buses,Fleet bound over the explicitly named finite pool.,null unless explicitly measured/recorded
mip_finite_pool_gap,scale_progress_summary.csv,number,fraction,Relative fleet gap between finite-pool incumbent and bound.,null unless explicitly measured/recorded
mip_fleet_proven,scale_progress_summary.csv,boolean,,Scale-progress field mip_fleet_proven.,null unless explicitly measured/recorded
mip_incumbent_fleet,scale_progress_summary.csv,number,buses,"Finite-pool MIP incumbent fleet, separate from LP route weight.",null unless explicitly measured/recorded
mip_partitioning,scale_progress_summary.csv,boolean,,Scale-progress field mip_partitioning.,null unless explicitly measured/recorded
mip_proof_scope,scale_progress_summary.csv,string,,Proof scope prefixed finite_pool; never global route-space optimality.,null unless explicitly measured/recorded
normalized_target_gap,scale_progress_summary.csv,number,fraction,target_gap divided by the explicit target fleet.,null unless explicitly measured/recorded
physical_validation_status,scale_progress_summary.csv,string,,Distinguishes replay-validated schedules from incidence partitions.,null unless explicitly measured/recorded
pricing_certified,scale_progress_summary.csv,boolean,,Scale-progress field pricing_certified.,null unless explicitly measured/recorded
replicate,scale_progress_summary.csv,string,,Scale-progress field replicate.,null unless explicitly measured/recorded
restricted_master_route_weight,scale_progress_summary.csv,number,routes,Observed LP route weight; not a lower bound unless certified_lp_bound is populated.,null unless explicitly measured/recorded
run_id,scale_progress_summary.csv,string,,Scale-progress field run_id.,null unless explicitly measured/recorded
scale,scale_progress_summary.csv,number,,Scale-progress field scale.,null unless explicitly measured/recorded
seed,scale_progress_summary.csv,number,,Scale-progress field seed.,null unless explicitly measured/recorded
source_artifact_ids,scale_progress_summary.csv,string,,Scale-progress field source_artifact_ids.,null unless explicitly measured/recorded
stopping_reason,scale_progress_summary.csv,string,,Scale-progress field stopping_reason.,null unless explicitly measured/recorded
target_fleet,scale_progress_summary.csv,number,buses,Explicit reviewed target fleet; never inferred from a filename.,null unless explicitly measured/recorded
target_gap,scale_progress_summary.csv,number,fleet units,Reported value minus explicit target; interpretation is named by target_gap_basis.,null unless explicitly measured/recorded
target_gap_basis,scale_progress_summary.csv,string,,"Observed, certified-LP, or finite-pool provenance of the target gap.",null unless explicitly measured/recorded
tariff_sha256,scale_progress_summary.csv,string,,Scale-progress field tariff_sha256.,null unless explicitly measured/recorded
treatment,scale_progress_summary.csv,string,,Scale-progress field treatment.,null unless explicitly measured/recorded
trip_count,scale_progress_summary.csv,number,,Scale-progress field trip_count.,null unless explicitly measured/recorded
trip_set_sha256,scale_progress_summary.csv,string,,Scale-progress field trip_set_sha256.,null unless explicitly measured/recorded
